Epoch: 071, Train loss: 17.0457, Test Loss: 11.3005, Score: 0.006895857863128185
Epoch: 072, Train loss: 17.2014, Test Loss: 11.1948, Score: -0.0003765278379432857
Epoch: 073, Train loss: 17.2179, Test Loss: 11.1939, Score: -0.0004489465500228107
Epoch: 074, Train loss: 17.2194, Test Loss: 11.1937, Score: -0.0004673832154367119
Epoch: 075, Train loss: 17.2201, Test Loss: 11.1949, Score: -0.0003685759729705751
Epoch: 076, Train loss: 16.1997, Test Loss: 11.1987, Score: -6.014406608301215e-05
Epoch: 077, Train loss: 17.2096, Test Loss: 11.1963, Score: -0.00025071832351386547
Epoch: 078, Train loss: 17.2138, Test Loss: 11.1952, Score: -0.00034077840973623097
Epoch: 079, Train loss: 17.2162, Test Loss: 11.1945, Score: -0.0003984493960160762
Epoch: 080, Train loss: 17.2178, Test Loss: 11.1941, Score: -0.0004354558477643877
Epoch: 081, Train loss: 17.2188, Test Loss: 11.1938, Score: -0.0004592929035425186
Epoch: 082, Train loss: 17.2204, Test Loss: 11.2121, Score: 0.0009916758863255382
Epoch: 083, Train loss: 15.0559, Test Loss: 11.2035, Score: 0.00032554264180362225
Epoch: 084, Train loss: 17.1982, Test Loss: 11.1998, Score: 2.821089765348006e-05
Epoch: 085, Train loss: 17.2062, Test Loss: 11.1974, Score: -0.0001634832879062742
Epoch: 086, Train loss: 17.2114, Test Loss: 11.1959, Score: -0.00028511148411780596
Epoch: 087, Train loss: 17.2147, Test Loss: 11.1949, Score: -0.00036274464218877256
Epoch: 088, Train loss: 17.2168, Test Loss: 11.1943, Score: -0.0004120338708162308
Epoch: 089, Train loss: 17.1289, Test Loss: 11.2193, Score: 0.0015401128912344575
Epoch: 090, Train loss: 17.0541, Test Loss: 11.1951, Score: -0.0003492071991786361
Epoch: 091, Train loss: 17.2167, Test Loss: 11.1947, Score: -0.0003828463377431035
Epoch: 092, Train loss: 17.2013, Test Loss: 11.8537, Score: 0.029727255925536156
Epoch: 093, Train loss: 17.1530, Test Loss: 11.1939, Score: -0.0004448641848284751
Epoch: 094, Train loss: 17.2191, Test Loss: 11.1937, Score: -0.00046534097054973245
Epoch: 095, Train loss: 17.2197, Test Loss: 11.1941, Score: -0.000434522342402488
Epoch: 096, Train loss: 16.4385, Test Loss: 11.2027, Score: 0.000258916785242036
Epoch: 097, Train loss: 17.2093, Test Loss: 11.1957, Score: -0.0003031815285794437
Epoch: 098, Train loss: 17.2153, Test Loss: 11.1948, Score: -0.0003757128433790058
Epoch: 099, Train loss: 17.2172, Test Loss: 11.1946, Score: -0.00038724043406546116
